dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1593666000,2020-07-02 05:00:00 +0000 UTC,3600,London,51.507351,-0.127758,285.29,281.89,283.15,287.639,1008,,,82,4.6,240,,1,,,0,500,Rain,light rain,10d
1593669600,2020-07-02 06:00:00 +0000 UTC,3600,London,51.507351,-0.127758,286.42,283.32,284.82,287.639,1008,,,82,4.6,250,,1,,,0,500,Rain,light rain,10d
1593673200,2020-07-02 07:00:00 +0000 UTC,3600,London,51.507351,-0.127758,287.98,284.41,286.15,289.82,1009,,,72,5.1,240,,1,,,0,500,Rain,light rain,10d
1593676800,2020-07-02 08:00:00 +0000 UTC,3600,London,51.507351,-0.127758,288.96,284.93,287.04,291.134,1009,,,67,5.7,260,,,,,75,803,Clouds,broken clouds,04d
1593680400,2020-07-02 09:00:00 +0000 UTC,3600,London,51.507351,-0.127758,289.48,285.59,288.15,291.134,1009,,,67,5.7,250,,,,,75,803,Clouds,broken clouds,04d
1593684000,2020-07-02 10:00:00 +0000 UTC,3600,London,51.507351,-0.127758,290.51,286.96,288.71,291.48,1009,,,68,5.7,250,,,,,75,803,Clouds,broken clouds,04d
1593687600,2020-07-02 11:00:00 +0000 UTC,3600,London,51.507351,-0.127758,291.32,288.08,289.26,293.71,1010,,,63,5.1,240,0.51,,,,0,500,Rain,light rain,10d
1593691200,2020-07-02 12:00:00 +0000 UTC,3600,London,51.507351,-0.127758,290.88,287.43,288.15,293.238,1010,,,68,5.7,240,,1,,,0,500,Rain,light rain,10d
1593694800,2020-07-02 13:00:00 +0000 UTC,3600,London,51.507351,-0.127758,291.16,287.79,289.15,293.238,1011,,,68,5.7,250,,,,,0,500,Rain,light rain,10d
1593698400,2020-07-02 14:00:00 +0000 UTC,3600,London,51.507351,-0.127758,292.74,289.5,290.15,295.93,1011,,,68,6.2,250,0.25,,,,12,500,Rain,light rain,10d
1593702000,2020-07-02 15:00:00 +0000 UTC,3600,London,51.507351,-0.127758,293.44,289.45,290.93,296.48,1011,,,60,6.7,250,,1.44,,,12,500,Rain,light rain,10d
1593705600,2020-07-02 16:00:00 +0000 UTC,3600,London,51.507351,-0.127758,293.6,290.36,291.48,295.273,1011,,,60,5.7,260,,1.44,,,12,500,Rain,light rain,10d
1593709200,2020-07-02 17:00:00 +0000 UTC,3600,London,51.507351,-0.127758,292.6,288.57,290.1,294.15,1012,,,72,7.7,300,,,,,0,500,Rain,light rain,10d
1593712800,2020-07-02 18:00:00 +0000 UTC,3600,London,51.507351,-0.127758,291.67,293.08,289.26,294.15,1013,,,82,0.5,0,,,,,0,500,Rain,light rain,10d
1593716400,2020-07-02 19:00:00 +0000 UTC,3600,London,51.507351,-0.127758,291.09,290.82,288.71,293.7,1013,,,82,2.6,250,,,,,0,500,Rain,light rain,10d
1593720000,2020-07-02 20:00:00 +0000 UTC,3600,London,51.507351,-0.127758,290.25,290.85,287.15,292.04,1013,,,88,1.5,220,,0.5,,,5,500,Rain,light rain,10d
1593723600,2020-07-02 21:00:00 +0000 UTC,3600,London,51.507351,-0.127758,290.03,290.13,287.15,292.04,1014,,,88,2.1,240,,0.5,,,5,500,Rain,light rain,10n
1593727200,2020-07-02 22:00:00 +0000 UTC,3600,London,51.507351,-0.127758,289.96,290.46,287.15,292.04,1015,,,88,1.5,210,,,,,20,801,Clouds,few clouds,02n
1593730800,2020-07-02 23:00:00 +0000 UTC,3600,London,51.507351,-0.127758,289.11,288.09,287.003,290.93,1015,,,88,3.25,277,,,,,75,803,Clouds,broken clouds,04n
